CODREV3,rnombre
7492,ACTIVIDADES DE DETECTIVES DE ALMACENES Y DE VIGILANCIA
7493,ACTIVIDADES DESINFECCION Y EXTERMINIO
7494,ACTIVIDADES DE FOTOGRAFIA PUBLICITARIA
7495,MONTAJE DE NOVEDADES Y BOTON EN TARJETAS
7499,AGENCIAS DE CONTRATOS
7511,ADMINISTRACION Y APLICACION DE IMPUESTOS
7512,"ADM. DE PROG. ATENCION, MEJORAM. Y PROTECCION DE LA SALUD"
7513,SERV. ADMINISTRATIVOS RELACIONADOS CON COMERCIO
7514,ADM. DE EDIFICIOS DE PROPIEDAD PUBLICA
7521,ADMINISTRACION DE SERV. INFORMATIVOS Y CULT. EN EL EXTERIOR
7522,"ABASTECIMIENTO DE EQUIPO, ESTRUCTURAS Y SUMINISTRO ETC."
7523,"ABASTECIMIENTO, SUMINISTRO PARA SER UTILIZ. EN EMERGENCIAS I"
7530,"PLANES QUE CUBREN PERDIDAS DE INGRESO: EJM. MATERNIDAD, INCA"
8010,SERVICIO DE ENSE¥ANZA ESPEC. PARA NI¥OS INCAPACITADOS
8021,ENSE¥ANZA ESPECIAL DE TIPO ACADEMICO PRA ESTUD. INCAPACITADO
8022,INSTITUTO DE ENSE¥ANZA TECNICA
8030,INSTITUTO DE ENSE¥ANZA SUPERIOR
8090,ESCUELAS DE PRIMARIA Y SECUNDARIA PARA ADULTOS
8511,HOSPITALES GENERALES Y ESPECIALIZADOS
8512,CONSULTORIOS DE MEDICINA GENERAL
8519,LABORATORIOS CLINICOS
8520,CLINICAS PARA ANIMALES
8531,"ACTIVIDADES DE ASISTENC. SOCIAL A NI¥OS, ANCIANOS, ETC."
8532,CENTRO DE ATENCION DIURNA DE PERSONAS INCAPACITADAS
9000,"ACTIV.DILUCION, CRIBADO, FILTRACION, SEDIMENTACION"
9111,CAMARAS DE COMERCIO Y GREMIOS
9112,"ORGANIZ. CIENTIFICAS, PROFESIONALES Y TECNICAS"
9120,SINDICATOS CON SUS FILIALES
9191,"ORGANIZACIONES RELIGIOSAS, IGLESIAS, TEMPLOS Y OTROS"
9192,ORGANIZACIONES JUVENILES ASOCIADAS A PARTIDOS POLITICOS
9199,"ASOCIACIONES, CLUB ROTARIOS, LOGIAS MASONICAS, ETC"
9211,ACTIV. AUXILIARES COMO EL MONTAJE Y DOBLAJE PELICULA
9212,EXHIBICION DE FILMS Y VIDEO CINTAS EN CINEMATOGRAFOS
9213,PRODUC. EN VIVO O EN CINTAS DE PROGRAMAS DE RADIO Y TV
9214,"ACTIVIDADES ESCENOGRAFIA, ILUMINACION Y SONIDO"
9219,"SALAS DE BAILE, DISCOTECAS E INSTRUCT. DE DANZA"
9220,ACTIV.DE CONSORCIOS Y AGENCIAS DE NOTICIAS
9231,BIBLIOTECAS
9232,"MUSEOS DE ARTE, ORFEBRERIA, MUEBLES, ETC."
